"workclass";"education";"marital_status";"occupation";"race";"gender";"full_or_part_emp";"capital_gains";"capital_losses";"state_prev_res";"fam_under_18";"country_self";"income_50k";"age";"relationship"
"self employed incorporated";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";57;"wife"
"private";"high school graduate";"married civilian spouse present";"other service";"amer indian aleut or eskimo";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";38;"wife"
"self employed not incorporated";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"england";"<=50k";45;"husband"
"state government";"bachelors degree(ba ab bs)";"never married";"executive admin and managerial";"white";"male";"pt for econ reasons usually pt";0;0;"nonmover";"adult";"united states";">50k";71;"husband"
"private";"masters degree(ma ms meng med msw mba)";"never married";"other service";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";39;"husband"
"private";"10th grade";"married civilian spouse present";"other service";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";34;"wife"
"private";"some college but no degree";"married civilian spouse present";"executive admin and managerial";"white";"male";"full time schedules";15024;0;"nonmover";"adult";"united states";"<=50k";49;"husband"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"black";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";46;"husband"
"private";"7th and 8th grade";"never married";"private household services";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";37;"husband"
"private";"some college but no degree";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";43;"wife"
"private";"some college but no degree";"married civilian spouse present";"sales";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";57;"husband"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"asian or pacific islander";"male";"children or armed forces";0;0;"nonmover";"adult";"laos";"<=50k";30;"husband"
"private";"some college but no degree";"separated";"private household services";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"el salvador";"<=50k";25;"other relative"
"private";"high school graduate";"married civilian spouse present";"farming forestry and fishing";"asian or pacific islander";"female";"not in labor force";0;0;"nonmover";"adult";"japan";"<=50k";60;"wife"
"private";"high school graduate";"married civilian spouse present";"sales";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";55;"wife"
"self employed not incorporated";"prof school degree (md dds dvm llb jd)";"married civilian spouse present";"professional specialty";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";34;"wife"
"self employed not incorporated";"11th grade";"married civilian spouse present";"executive admin and managerial";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";31;"husband"
"local government";"10th grade";"never married";"farming forestry and fishing";"white";"male";"children or armed forces";0;0;"new hampshire";"adult";"united states";"<=50k";42;"husband"
"self employed incorporated";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"michigan";"adult";"united states";"<=50k";31;"husband"
"private";"high school graduate";"never married";"adm support including clerical";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"honduras";"<=50k";19;"own child"
"self employed not incorporated";"some college but no degree";"divorced";"farming forestry and fishing";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";53;"husband"
"private";"bachelors degree(ba ab bs)";"divorced";"machine operators assmblrs & inspctrs";"white";"female";"children or armed forces";0;1590;"oregon";"adult";"united states";"<=50k";32;"unmarried"
"self employed not incorporated";"11th grade";"divorced";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";38;"husband"
"local government";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";61;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";47;"wife"
"federal government";"high school graduate";"divorced";"adm support including clerical";"amer indian aleut or eskimo";"female";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"united states";"<=50k";63;"husband"
"private";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"professional specialty";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";47;"husband"
"private";"some college but no degree";"married civilian spouse present";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";48;"husband"
"private";"prof school degree (md dds dvm llb jd)";"married civilian spouse present";"professional specialty";"asian or pacific islander";"male";"full time schedules";0;1672;"nonmover";"adult";"united states";"<=50k";32;"husband"
"self employed incorporated";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";51;"wife"
"private";"prof school degree (md dds dvm llb jd)";"married civilian spouse present";"professional specialty";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";">50k";46;"husband"
"federal government";"bachelors degree(ba ab bs)";"married civilian spouse present";"adm support including clerical";"white";"male";"full time schedules";7298;0;"nonmover";"adult";"united states";">50k";52;"husband"
"private";"high school graduate";"married civilian spouse present";"other service";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";50;"wife"
"private";"some college but no degree";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"abroad";"adult";"united states";">50k";53;"husband"
"private";"some college but no degree";"married civilian spouse present";"machine operators assmblrs & inspctrs";"black";"male";"children or armed forces";0;1902;"nonmover";"adult";"united states";"<=50k";41;"husband"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";27;"husband"
"private";"bachelors degree(ba ab bs)";"divorced";"professional specialty";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";66;"husband"
"private";"some college but no degree";"never married";"other service";"white";"male";"full time schedules";0;0;"nonmover";"adult";"germany";"<=50k";21;"own child"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"black";"female";"children or armed forces";0;0;"nonmover";"adult";"canada";"<=50k";50;"wife"
"private";"some college but no degree";"never married";"adm support including clerical";"white";"female";"pt for econ reasons usually pt";0;0;"nonmover";"adult";"united states";"<=50k";26;"husband"
"private";"11th grade";"never married";"other service";"black";"male";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"united states";"<=50k";27;"other relative"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";32;"wife"
"private";"bachelors degree(ba ab bs)";"divorced";"sales";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";32;"husband"
"local government";"masters degree(ma ms meng med msw mba)";"never married";"professional specialty";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";50;"husband"
